Name,Rating,Address,Price,ID,Reviews
Cocina de Barrio,4.5,3707 Fifth Ave,$$,6kZTye2kYSTDc9YuJkY_Bw,"[{'Text': ""We didn't know where to go for dinner.  At first, we were going to just get takeout, but it was already after 5 and the usual places were already crowded...."", 'Rating': 5}, {'Text': ""They're wishy washy with their staff and how they want to run their promos. Bottomless mimosa and I can't order more because THEIR staff wanted to bring..."", 'Rating': 1}, {'Text': ""I'd give the food 4 stars and the experience 3 stars, so 3.5, really. \n\nGenerally, I really like this place. Unique food options, good drinks, nice..."", 'Rating': 3}]"
Las Cuatro Milpas,4.5,1857 Logan Ave,$,43BHmEbS7eBRxC7MFnqv7Q,"[{'Text': ""This place is using recipes from 1933. Which -- gotta hand it to them -- is wonderful longevity and tradition. That said, I don't feel that the recipes have..."", 'Rating': 3}, {'Text': ""This place is the best! I hope they stay around forever!!\nTortillas are so yummy and fresh. You're in the most authentic Mexican place in SD.  Worth the..."", 'Rating': 5}, {'Text': 'Simply the best traditional Mexican food in SD. Their tortillas are to die for. Have never tasted anything like them anywhere else. Always my favorite for...', 'Rating': 5}]"
Casa Machado,4.0,3750 John J Montgomery Dr,$$,O4r43qZXZu4BR6xHKxUsxw,"[{'Text': 'Nice little restaurant that sits right next to the flight line of Montgomery Field. Went for Sunday brunch with some friends and we were seated quickly....', 'Rating': 4}, {'Text': ""I'd give it 5 stars for the experience with my two boys, because I mean, when can you watch airplanes from your seat and eat at the same time? And the food..."", 'Rating': 3}, {'Text': 'This is a hidden little gem. I never knew about this place until a close friend brought us. Parking is super easy, friendly service, cool ambiance makes me...', 'Rating': 5}]"
Oscars Mexican Seafood,4.5,703 Turquoise St,$,ssJJPFuV6tTDgHYe2w9csQ,"[{'Text': ""5 Stars for Oscar's!!!!\n\nHands down the best fish tacos in San Diego.\n\nBig fan of the Ceviche as well."", 'Rating': 5}, {'Text': 'This place is absolutely the best seafood taco place ive ever had. All their locations are consistent as well. Ive been to multiple spots whenever i crave...', 'Rating': 5}, {'Text': 'I first came to this location 11 years ago on my last trip to San Diego. I will never forget the owner insisting that his food was the best - and how...', 'Rating': 5}]"
La Puerta,4.5,4020 Goldfinch St,$$,72FvS1jWnfozyTL-YuV25w,"[{'Text': 'Food tasted great (tacos). Sat at the bar and had great service and enjoyed the margaritas.', 'Rating': 5}, {'Text': 'Delicious!!! \n\nCochinita pibil quesadilla was BOMB. So gooooddd!! \n\nHonestly we could come back just for that. The margaritas are good and the tacos were...', 'Rating': 5}, {'Text': ""I came across this place while looking for somewhere close to work, and it turned out to be a gem!  It felt tucked away around a corner in Hillcrest but I'm..."", 'Rating': 4}]"
The Taco Stand,4.5,621 Pearl St,$,dBtZR2CB8PVxndyF6K2wAQ,"[{'Text': ""ABSOLUTELY the BEST tacos we have ever eaten. Everything is made fresh as you wait. Yes, the line can get long, but it was worth it!  If you're in La Jolla,..."", 'Rating': 5}, {'Text': ""The Taco Stand, a popular taco joint in San Diego's La Jolla neighborhood. In short, it is simply one of the best places to eat tacos in San Diego, and also..."", 'Rating': 5}, {'Text': ""I don't get the hype, the sauces here are wack and lack flavor, and the portion sizes are ok but the meats that I have encountered here have been dry. Their..."", 'Rating': 2}]"
Miguel’s Cocina,4.0,1360 N Harbor Dr,$$,QjQgH21atY9tep1iBm8wsg,"[{'Text': ""Food was pretty good, I liked the ceviche wasn't too big, it was perfect portion for me.\nQueso dip for chips was delicious. Food runner was so attentive,..."", 'Rating': 4}, {'Text': ""Almost 2 decades ago, one of my favorite Mexican restaurants was Miguel's Cocina at Foothill Ranch (in the OC). I'm glad the restaurant lives on with this..."", 'Rating': 5}, {'Text': ""There are good and bad chain restaurants locations. This San Diego Harbor spot of Miguel's is nice. The location definitely plays the strong part since you..."", 'Rating': 4}]"
Cotixan Mexican Food,4.0,4370 Genesee Ave,$$,iWGFw9fUuirL631fI95uKA,"[{'Text': ""I've been coming here since middle school & which means about 20 years lol\n\nI get their cali burrito with light sour cream cuz sometimes they drench it on..."", 'Rating': 5}, {'Text': ""5 stars for food, service is fast, very nice seating and ambiance. \n\nBut I gave you 3 stars because the ladies working weren't friendly at all.... Your..."", 'Rating': 3}, {'Text': ""I've been coming here for years but todays visit was very disappointing.  I use DoorDash to order from here and pick it up myself. Today , I went to pick it..."", 'Rating': 3}]"
Ponce's Mexican Restaurant,4.0,4050 Adams Ave,$$,wFl8oyege66SxWSCItg86Q,"[{'Text': ""This was my first time to Ponce's and will return over and over again!\nThe food was very tasty and I was so happy for all of the vegetarian options and the..."", 'Rating': 5}, {'Text': 'Always love coming here!  The staff is always friendly and cool!  Since the weather was unusually warm, we stopped in.  They also accommodated Cako by...', 'Rating': 5}, {'Text': 'Ordered the Chili Relleno Plate which came out 2 minutes and 27 seconds later. I was happy to see a full plate so quickly. They warned me that the plate was...', 'Rating': 1}]"
El Chingon Bad Ass Mexican,4.0,560 Fifth Ave,$$,jj9HYcw9YgifkpsLCYiGsQ,"[{'Text': 'A few of my girlfriends and I were approached by a promoter and let in for free at this spot on a Saturday night. The music was good, with a mix of Latin...', 'Rating': 4}, {'Text': ""Stopped by for lunch today with our toddler as we know this isn't very kid friendly at night but during the day it was great! They had a high chair which is..."", 'Rating': 4}, {'Text': ""The pro was that the music was pretty good and restroom was clean enough.\n\nThe cons are that it's a $20 cover which is fine, but it's extremely small &..."", 'Rating': 1}]"
The Taco Stand,4.0,4646 Convoy St,,J3PJpa050pQz8E8MeiEDVw,"[{'Text': ""This was my first time going and I got the Al Pastor burrito. It was the BEST burrito I've ever had. The flavor explodes in your mom and the fresh made..."", 'Rating': 5}, {'Text': 'Despite the tiny parking lot, this a great location in Kearny Mesa. Nice to see some diversity of food options in the Convoy District.\n\nThe food is great...', 'Rating': 5}, {'Text': 'Taco stand..... nah not really.\nMore like a chipotle with less dining tables. \n\nCarne Asada- Super thick sliced Chipotle style cubes. \nUnder-seasoned,...', 'Rating': 3}]"
Blanco Cocina + Cantina,4.5,7007 Friars Rd,$$,yxzofSsDC3IqWvBszd5PZw,"[{'Text': ""My husband and I were craving some tacos and tequila and thought of this place, it's close and still have not tried it. So we came in on a Sunday evening,..."", 'Rating': 5}, {'Text': 'Blanco Cocina+ Cantina was laid-back and located in the Fashion Valley Mall. The restaurant is quite large with indoor- outdoor seating. \n\nFor starters, we...', 'Rating': 4}, {'Text': ""Alright, hold on to your hats, folks, because I'm about to write the most awesome, funny, and detailed 5-star Yelp review you've ever seen. Get ready to be..."", 'Rating': 5}]"
Lucha Libre Gourmet Taco Shop,4.0,1810 W Washington St,$$,EGj92CH6mWFiRvHB1zyMAw,"[{'Text': 'Burritos were good and so was the price. The area is great (right off the freeway!). The salsas were authentic and lots to choose from.', 'Rating': 4}, {'Text': ""Good burrito's. Loved the corn. Small place, we had take out, it was ready on time. Would love to eat in next time, very cool looking place."", 'Rating': 4}, {'Text': ""So lucky to have stumbled upon this spot! I got the ADO-HABA PIÑA CALIFORNIA burrito and it was one of the most uniquely delicious burritos I've ever had!..."", 'Rating': 5}]"
El Zarape Restaurant,4.0,4642 Park Blvd,$,zCP7tTuUPkw9PeiyOp8FTw,"[{'Text': 'El Zarape is one of my favorite places to get Mexican food. The menu can be overwhelming and some of the items can be a hit & miss but my go-to is either...', 'Rating': 4}, {'Text': ""If I could eat one thing for the rest of my life it would be the carnitas burrito supreme from El Zarape on park blvd. With the verde salsa. I've lived all..."", 'Rating': 5}, {'Text': 'ACCEPTS: CARD & TAP TO PAY & CASH\nI came with a small group of people. We added a chair to sit outside altogether. It was about 9pm on a Saturday and they...', 'Rating': 5}]"
Puesto at The Headquarters,4.0,789 W Harbor Dr,$$,4_vPdLbDx0Iadr2nANyCQQ,"[{'Text': ""This place is simply amazing. \n\nI've eaten at this location and others through our California since the fruition of the concept. \n\nAlan has been a long time..."", 'Rating': 5}, {'Text': 'We recently enjoyed a quick stop at seaport village and then decided to grab a bite at Puesto! It was our first time here although I have seen a few in the...', 'Rating': 3}, {'Text': 'I did not know this is a chain, but it was terrific, and did not feel big and corporate. We came on a Tuesday and they offer Taco Tuesday specials as well...', 'Rating': 5}]"
Miguel's Cocina,4.0,2912 Shelter Island Dr,$$,vA7G6pziyILjIZNmzlX5Cw,"[{'Text': ""I can't come to San Diego without stopping at my favorite restaurant. We love Miguel's for the food, the service, the family atmosphere and the millions of..."", 'Rating': 5}, {'Text': ""On the 7th day, God rested and went to Miguel's Cocina.\n\nThe reviews are correct. This is the place if you want a sit down dinner. Full bar that has Tequila..."", 'Rating': 5}, {'Text': 'Attended a retirement gathering for lunch at the Portside Pier location and it was an elegant eye-catchy Hispanic Harbor style environment! Right on the...', 'Rating': 5}]"
Oscars Mexican Seafood,4.0,646 University Ave,$,iGkLE8G0m2OBZXgOxqQm7w,"[{'Text': 'Always stop by here when visiting San Diego for their awesome fish tacos! Parking is always hit or miss since the plaza has a teeny tiny parking lot, so...', 'Rating': 5}, {'Text': ""4.5/5 -\ni love oscars so i go every time i'm in san diego.\ni've been to the other locations but i like this location the best because the taste is pretty..."", 'Rating': 4}, {'Text': ""Great place, terrible parking situation! After parking blocks away and paying for parking, I came into Oscar's in a not so happy mood. But once I looked at..."", 'Rating': 5}]"
Fernandez Restaurant,5.0,2265 Flower Ave,$,KwHICkw0XBKl5Z0FBvtITg,"[{'Text': 'Always a pleasure eating here! Food is always on point and their menudo always hits the spot!! Their service is also always pleasant and friendly! Araceli...', 'Rating': 5}, {'Text': 'I had a great lunch with awesome customer service mouth watering  food and authentic atmosphere..... the crew was off the chain will be back soon', 'Rating': 5}, {'Text': 'Great Birria! Not greasy, great taste and the coffee is bomb! Aracely our server was awesome. Very patient and helpful. Definitely recommend this place.', 'Rating': 5}]"
Puesto Mission Valley,4.0,5010 Mission Center Rd,$$,0PUugR-xiDbUsP6apRb5ww,"[{'Text': ""This place is simply amazing. \n\nI've eaten at this location and others through our California since the fruition of the concept. \n\nAlan has been a long time..."", 'Rating': 5}, {'Text': 'Please dont pay for the chefs bar salsa - the sauces are not great. The margs were okay - a bit dilute but they looked pretty. The tacos were good -...', 'Rating': 3}, {'Text': 'Wow!!! At first, I thought ""These tacos are awfully pricey."" But THEN they arrived. These are the BEST tacos I\'ve ever had in my life. My wife and I enjoyed...', 'Rating': 5}]"
La Fuente Mexican Grill and Seafood,3.5,8690 Aero Dr,$,PlAyQLJqS3wfmYzTjUUUYA,"[{'Text': ""This place takes 30-40 mins to make a burrito,\nThe food isn't bad , but the lag on after you order is crazy.....\nIt's fast food? Not a gourmet sit down meal..."", 'Rating': 4}, {'Text': 'La Fuente had been a great spot, excellent food and portions for the price. Today Oct 11, my family came in and noticed all employees wearing black t shirts...', 'Rating': 1}, {'Text': ""I don't think I can go here anymore. Used to be my favorite taco shop in SD and would come once a week, but lately the burritos have been so small.. I paid..."", 'Rating': 1}]"
La Doña,4.5,1852 Bacon St,$$,oPDVEXuBS2SHdz5oJVkaqA,"[{'Text': 'I was hesitant to try a Mexican spot in OB but this place did not disappoint. \n\nPros: \n-The drinks are the perfect mixture of alcohol and flavor. They are...', 'Rating': 5}, {'Text': 'Order the beef Birria tacos with beans and rice. They are so great. I have tried competing tacos and these are my favorite. \n\nOrder the churros extra...', 'Rating': 5}, {'Text': 'I had my second review of La Doña saved in drafts and ready to go. Then we went to La Doña again. So this is my secondary and tertiary review.\n\nOur second...', 'Rating': 5}]"
Coasterra,4.0,880 Harbor Island Dr,$$$,gW9QYl6rijkncwPpvdVr7A,"[{'Text': 'This is the second time I have been to this restaurant and it was equally as wonderful this time. Well worth the price for a special occasion. Great upscale...', 'Rating': 5}, {'Text': 'My second time to this place\nLocation: one of my fav next to c level and island prime\nView: gorgeous - panoramic view of the ocean and downtown\nFood: Yukon...', 'Rating': 5}, {'Text': ""1. Food was just okay. Large portions but it just wasn't that good.\n2. Service was great and our waiter was really kind.\n3. The view is okay, there was a..."", 'Rating': 2}]"
Tacos el Trompo,4.5,3819 Mission Blvd,$,uAClDzKuffu9EilZ61pP0A,"[{'Text': 'My first time here, just happen to\nstumble onto it on Taco Tuesday. Great deal. Excellent food! Would come\nBack!', 'Rating': 5}, {'Text': ""Four stars for the chicken taco which was great. Ordered the fish taco and assumed it would be grilled fish - ended up being fried and wasn't my favorite at..."", 'Rating': 4}, {'Text': ""I'm glad I finally tried this place so I can stop romanticizing it. I was hoping it would be a closer to home Tacos El Gordo but that was an unfair..."", 'Rating': 3}]"
Sayulitas Mexican Food,3.5,8155 Mira Mesa Blvd,$$,wOvC4Qb2CWuStQnB4Lc6og,"[{'Text': 'I was craving some Huevos c Chorizo for over a week now. Sayulitas did not disappoint! Huge, delicious, portion. I requested the add of papas. Huevos and...', 'Rating': 5}, {'Text': ""If you're starving and craving to eat a baby burrito that's the size of your forearm, then this is the place you go. This is not your regular taco shop. It..."", 'Rating': 3}, {'Text': 'This feels like a regular Mexican taqueria until you notice all the Filipino and Asian add-ons you can add to the menu. The burritos are HUGE and delicious....', 'Rating': 4}]"
Birrieria Don Alvaro,5.0,3812 Grim Ave,,yqUIfw0fi3AlwlnjUc44BA,"[{'Text': 'Stopped by Mike Hess to grab a beer. Decided to get some chicken nachos and a couple of Birria tacos, too. Incredible flavor. Great tortillas. Nice guy....', 'Rating': 5}, {'Text': 'The folks working here were super nice and accommodating. The tacos are pretty expensive and the meat was dry compared to some of the truly amazing birria...', 'Rating': 3}, {'Text': 'Wow! The best birria taco that I have ever eaten!!! We also tried the cabeza taco which had a nice smoky flavor. Both generous in meat and toppings! I look...', 'Rating': 5}]"
Birrieria & Taqueria La Huasteca,5.0,865 Turquoise St,$$,FZzDQg0hYvDNKIPCJAzqIg,"[{'Text': 'I have heard about this place from some friends and all I can say is they were right. \n\nWent there tonight and was greater and service was on point....', 'Rating': 5}, {'Text': 'Great place for birria and burritos! Not so much for their regular tacos. We got the quesobirria with beef, two asada tacos, al pastor California burrito,...', 'Rating': 5}, {'Text': ""After all the good reviews I was so excited to try this place, I was hungry and craving birria so bad and I ended up so disappointed... there's no flavor in..."", 'Rating': 2}]"
Colima's Mexican Food,3.5,2302 University Ave,$$,A0NML2LFOchQilzFA8JRzQ,"[{'Text': 'A stand alone corner restaurant that gets a ton of play! They have the trifecta: drive thru, dine in and to go. My husband has NEVER had a california...', 'Rating': 5}, {'Text': ""My new favorite Mexican food place. I don't understand the 3.5 stars . This place has the best service and on top of that amazing food. They always get the..."", 'Rating': 5}, {'Text': ""The best the best rolled tacos. I'll try other items. I liked the employees \nIf anyone reads this, lighten up on the garlic in the rice. Good beans \nI'll be..."", 'Rating': 5}]"
El Costeño Mexican Food,4.5,3690 Murphy Canyon Rd,,jrPtiXKmprcNf5TyIjYoIA,"[{'Text': 'Been a few years since I hit this spot. It is just down the street from work.  A hole in the wall place inside a gas station. Great customer service, very...', 'Rating': 5}, {'Text': 'Glad I found this nearby Mexican restaurant. Just ordered a California burrito and I can tell the meat and all was cooked when ordered because it was very...', 'Rating': 5}, {'Text': ""If you want delicious Mexican food, skip Rubio's and go here! It's hidden behind the taco bell next to the carwash, it's absolutely worth seeking it out...."", 'Rating': 5}]"
Los Panchos,4.5,6110 Friars Rd,$$,yqTK2VA22GUyhFofgI40TQ,"[{'Text': ""Only come here if you're up for ample portions of the most delicious Mexican fast food you've ever tasted. I say this having lived for a year in Guadalajara..."", 'Rating': 5}, {'Text': ""This review is for service 4 cooks  I ordered just rolled tacos they sounded like they were having a party talking -eating -laughing just not cooking( don't..."", 'Rating': 1}, {'Text': 'It\'s funny: we lived a block away from the Los Panchos in Hillcrest for over two years but never stopped in to try their food. We always said, ""we should go...', 'Rating': 4}]"
Ortega's Bistro,4.0,141 University Ave,$$,yeUrPbgYzfSC2YKRv9N-LA,"[{'Text': 'Guacamole, Queso Fundido, Pomegranate Margheritas, Steak Tacos, Flan, and Churros\n\nSuch a great happy hour spot! Yummy drinks, great chips and salsa,...', 'Rating': 5}, {'Text': 'Luis the Manager, David and Hector are always super friendly and professional.\n\nFood is amazing!!!\n\nCrab Enchilada my favorite.', 'Rating': 5}, {'Text': ""Ortega's has been on my try list for ages, so when a craving for churros and mole set in, I knew the time was right. I ordered delivery: cheese enchiladas..."", 'Rating': 4}]"
Casa Guadalajara,3.5,4105 Taylor St,$$,ix7cpqUC1Dk3BVeyGv_RFw,"[{'Text': 'Traditional Mexican food. Dressy atmosphere. Especially enjoyed the home made tortillas.', 'Rating': 4}, {'Text': 'Absolutely delicious food here with an amazing atmosphere. My friends and i (party of 8) came here for an early dinner on Sunday and the vibes were...', 'Rating': 5}, {'Text': 'I was recommended to this place. I am very familiar and expert with true mexican food, tex mex, and west mex. All are good in their own ways. I hate to make...', 'Rating': 3}]"
Tacos El Gordo,4.5,556 Broadway,$,06lBpQZ3Ye9w7zL8j_tFPw,"[{'Text': ""Would move back to California just for these tacos alone, never been to the Las Vegas location but I'm sure it's great as well. Please expand to Texas"", 'Rating': 5}, {'Text': ""ive had way better, its good if you haven't had  tacos before, the service is good tho and the place is big enough"", 'Rating': 3}, {'Text': 'Star: best tacos\nStar: great location \nStar: costumer service \nStar: great ambience \nStar: overall experience', 'Rating': 5}]"
Burritos Santana,3.5,10443 San Diego Mission Rd,$,ReWDW3H5LL21JIuWgfsloQ,"[{'Text': 'Our favor carne assada fries and CA burrito!!! Love the sauce \nSo close to home \nVery friendly staff', 'Rating': 5}, {'Text': 'Overall, Burrito Santana Mexican Taco Shop is a great spot for a quick and satisfying meal. The parking is easy and the service is fast. While the burrito...', 'Rating': 4}, {'Text': 'Ordered some late night tacos and they were: huge, tasty and filling. The asada was the best out of the bunch I got. Unfortunately, the churro I got was...', 'Rating': 4}]"
Palominos,4.0,3860 Convoy St,$,qzssMez1vOzt1u775IIe-g,"[{'Text': ""I always like to give 5 stars when I can but I'm willing to give 1 star when it's deserved.  The only reason Palominos doesn't get 5 stars is because I..."", 'Rating': 4}, {'Text': ""Saturday 8:15 AM NOT OPEN. Dish choices on the worst part of town and it's 8 o'clock past 8 o'clock and still not open on the doors if that is open at seven..."", 'Rating': 1}, {'Text': ""Salsa bar and my bacon breakfast burrito was good. However, I don't like places that don't post prices on the menu. It's like making it up as they go. $9..."", 'Rating': 3}]"
Mauricio's,4.0,5375 Kearny Villa Rd,$$,Uo52TKWFOrrlnc14gVnqcw,"[{'Text': 'If I could give this place 10 stars I would! This place never disappoints me! Their carnitas are of the hook! Highly recommend there carnitas! \n\nCarnitas...', 'Rating': 5}, {'Text': 'One of my favorite spots for their Two Piece Beef Tacos Combo Plate that comes with rice and beans. The carnitas taco is better than the other taco shops in...', 'Rating': 4}, {'Text': 'For $14 the size of the burrito makes complete sense. Its almost the length of my forearm which made it a fulfilling meal. The bad news is that the asada...', 'Rating': 3}]"
Maritza's Mexican Food Restaurant,4.5,3582 Mount Acadia Blvd,$,IFSEy6J-0Ob5cwkr65SqPQ,"[{'Text': 'one of the best mex places in all san diego. We always get the Cali Burrito and 2 beef enchilada combo.', 'Rating': 5}, {'Text': 'The best!! Not fast food! Always carefully and lovingly prepared!!\nHard working family!!\nThank you!!', 'Rating': 5}, {'Text': ""The food is good, as you can see from the other reviews. But it's more than a little weird that a business in 2023 still hasn't taken the very basic steps..."", 'Rating': 3}]"
La Perla Cocina Mexicana 3,5.0,1224 Rosecrans St,$,4rm08EuI5EQJ38dHj7kHFg,"[{'Text': 'We were craving Mexican food after catching the sunset at Sunset Cliffs -- although we had a bit of confusion finding this location at first, it was so...', 'Rating': 5}, {'Text': 'A pretty good burrito for a good price!\nI got a carne asada burrito and added beans, and the total came to exactly $10. The carne asada burrito comes with...', 'Rating': 4}, {'Text': ""Two words...KING KONG. Best burrito I've tried in San Diego! Chili relleno with carne asada. I split it with my husband thank goodness or I would have been..."", 'Rating': 5}]"
Picante Taqueria,4.0,6620 Mission Gorge Rd,$,whcQ3JRgfX-CJ-f3LQxDtw,"[{'Text': 'I liked this place before the owners changed hands a few months ago.  Now I LOVE it!  My kids and I stopped by to get some burritos for a picnic a few weeks...', 'Rating': 5}, {'Text': 'Five stars for their chicken quesadilla.    \n--\nI was in an all day pool tournament nearby and my doubles partner and I did an online to go order to...', 'Rating': 5}, {'Text': 'BEST QUESABIRRIA EVER.\nMy girlfriend ordered the breakfast burrito one morning and it was good, but I noticed it was around the corner from my apartment, so...', 'Rating': 5}]"
Cocina De Barrio,4.0,3924 W Point Loma Blvd,$$,L2YgRsIyK-26DvBN9PUdhA,"[{'Text': 'I try  the Tayulda tostada and was delicious.  And French toast and churros . The service was great. The only thing is that el cafe de olla is only coffee...', 'Rating': 5}, {'Text': 'Went here in August and just now remembering how wonderful of an experience I had. It was a beautiful day outside, it was in the morning, and some friends...', 'Rating': 5}, {'Text': 'Met with friends in this restaurant while visiting San Diego for the weekend. \n\nI appreciated the decor and warm lights. \n\nI ordered the Churro French Toast...', 'Rating': 4}]"
La Vecindad Neighborhood Tacos,4.5,3827 5th Ave,$$,c2iFpIROV9OVK3wd24J0Tw,"[{'Text': 'My go-to Mexican restaurant to bring family and friends to when they visit! Delicious food and drinks and the service is always great. Some of my favorites...', 'Rating': 5}, {'Text': ""They're literally the nicest!!! super cheap and delicious meals as well. Overall such a welcoming and loving environment. Next time I come back to San Diego..."", 'Rating': 5}, {'Text': ""Tried this place and it was honestly so good I can't wait to come back. In the Hillcrest village area so there's plenty to do around! It's a sit down and to..."", 'Rating': 5}]"
Cali's & Fries,4.0,5150 Murphy Canyon Rd,$$,7ynGOTsVyp_62wQgzCFY8w,"[{'Text': 'This place is so good!! They are quick, affordable and delicious. The chipotle burrito is my favorite. If you are looking for some good flavorful delicious...', 'Rating': 5}, {'Text': ""I ordered a chicken taco combo plate for lunch, and it was pretty good. A bit on the high side price-wise, but that's par for the course these days. Pity I..."", 'Rating': 4}, {'Text': ""LARGE pastor fries  and meat! They also have a chips and salsa bar which is awesome! From what I've seen, few places have put out a salsa bar after covid."", 'Rating': 5}]"
Old Town Tequila Factory,4.0,2467 Juan St,$$,SJOaN8Hf0IlJc_8qlot_jw,"[{'Text': 'The view was beautiful!! I would definitely make a reservation before hand it was not a busy night but they asked numerous times if we had made a...', 'Rating': 5}, {'Text': ""I may have had too high of expectations with this place. It's hard because all of the restaurants in old town serve Mexican food, make homemade tortillas,..."", 'Rating': 3}, {'Text': 'This place was such a fun spot to have a tasty, affordable brunch.  I was surprised at the wide range of options in their bottomless brunch buffet -- from...', 'Rating': 4}]"
